Brand,Product,Price,Color,Display size,Resolution,Operating system & processors,RAM,Storage,Primary Camera,Secondary camera,Battery
Nokia,Nokia 7 Plus Black & Copper,"₹12,000",Black & Copper,15.24 cm (6 inch),2160 x 1080 Pixels,Android Oreo 8Octa Core,4 GB,64 GB,13MP Rear Camera,16MP Front Camera,3800 mAh
Nokia,Nokia 3.1 Plus Charcoal,"₹7,088",Charcoal,15.24 cm (6 inch),720 x 1440 Pixels,Android Oreo Android Oreo 8.1Octa Core,3 GB,32 GB,13MP Rear Camera,--,3500 mAh
Nokia,Nokia 6.1 Plus White,"₹18,599",White,14.73 cm (5.8 inch),2280 x 1080 pixels,Android Oreo 8.1.0Octa Core,4 GB,64 GB,16MP + 5MP,16MP Front Camera,3060 mAh
Nokia,Nokia 6.1 Plus Blue,"₹18,599",Blue,14.73 cm (5.8 inch),2280 x 1080 pixels,Android Oreo 8.1.0Octa Core,4 GB,64 GB,16MP + 5MP,16MP Front Camera,3060 mAh
Nokia,Nokia 3.1 Plus Baltic,"₹10,440",Baltic,15.24 cm (6 inch),720 x 1440$$pixel,Android Oreo 8.1,3 GB,32 GB,13MP Rear Camera,--,3500 mAh
Nokia,Nokia 6.1 Plus Black,"₹11,490",Black,14.73 cm (5.8 inch),2280 x 1080 pixels,Android Oreo 8.1.0Octa Core,6 GB,64 GB,16MP + 5MP,16MP Front Camera,3060 mAh
Nokia,Nokia 6.1 Plus Blue,"₹11,990",Blue,14.73 cm (5.8 inch),2280 x 1080 pixels,Android Oreo 8.1.0Octa Core,6 GB,64 GB,16MP + 5MP,16MP Front Camera,3060 mAh
Nokia,Nokia 3.1 Plus White,"₹6,790",White,15.24 cm (6 inch),720 x 1440 Pixels,Android Oreo Android Oreo 8.1Octa Core,3 GB,32 GB,13MP Rear Camera,--,3500 mAh
Nokia,Nokia 5.1 Plus Black,"₹13,199",Black,14.73 cm (5.8 inch),720 x 1520 pixels,Android Oreo 8.1.0Octa Core,3 GB,32 GB,13MP + 5MP,8MP Front Camera,3060 mAh
Nokia,Nokia 5.1 Plus Black,"₹13,199",Black,14.73 cm (5.8 inch),720 x 1520 pixels,Android Oreo 8.1.0Octa Core,3 GB,32 GB,13MP + 5MP,8MP Front Camera,3060 mAh
Nokia,Nokia 5.1 Plus White,"₹13,199",White,14.73 cm (5.8 inch),720 x 1520 pixels,Android Oreo 8.1.0Octa Core,3 GB,32 GB,13MP + 5MP,8MP Front Camera,3060 mAh
Nokia,Nokia 5.1 Plus Black,"₹9,990",Black,14.73 cm (5.8 inch),720 x 1520$$Pixels,Android Oreo 8.1.0Octa Core,4 GB,64 GB,13MP + 5MP,8MP Front Camera,3060 mAh
Nokia,Nokia 5.1 Plus Black,"₹14,999",Black,14.73 cm (5.8 inch),720 x 1520$$pixel,Android Oreo 8.1,6 GB,64 GB,13MP Rear Camera,--,3060 mAh
Nokia,Nokia 5.1 Plus Blue,"₹9,975",Blue,14.73 cm (5.8 inch),720 x 1520$$Pixels,Android Oreo 8.1.0Octa Core,4 GB,64 GB,13MP + 5MP,8MP Front Camera,3060 mAh
Nokia,Nokia 3.1 Plus Blue,"₹7,195",Blue,15.24 cm (6 inch),720 x 1440 Pixels,Android Oreo Android Oreo 8.1Octa Core,3 GB,32 GB,13MP + 5MP,--,3500 mAh
Nokia,Nokia 5.1 Plus Blue,"₹9,900",Blue,14.73 cm (5.8 inch),720 x 1520$$pixel,Android Oreo 8.1Octa Core,6 GB,64 GB,13MP Rear Camera,--,3060 mAh
Nokia,Nokia 7 Plus White & Copper,"₹19,498",White & Copper,15.24 cm (6 inch),2160 x 1080 Pixels,Android Oreo 8Octa Core,4 GB,64 GB,13MP Rear Camera,--,3800 mAh
Nokia,Nokia 6.1 Plus Blue,"₹18,599",Blue,14.73 cm (5.8 inch),2280 x 1080 pixels,Android Oreo 8.1.0Octa Core,4 GB,64 GB,16MP + 5MP,16MP Front Camera,3060 mAh
Nokia,Nokia 5.1 Plus Blue,"₹9,975",Blue,14.73 cm (5.8 inch),720 x 1520$$Pixels,Android Oreo 8.1.0Octa Core,4 GB,64 GB,13MP + 5MP,8MP Front Camera,3060 mAh
Nokia,Nokia 5.1 Plus Blue,"₹9,900",Blue,14.73 cm (5.8 inch),720 x 1520$$pixel,Android Oreo 8.1Octa Core,6 GB,64 GB,13MP Rear Camera,--,3060 mAh
Nokia,Nokia 5.1 Plus Black,"₹13,199",Black,14.73 cm (5.8 inch),720 x 1520 pixels,Android Oreo 8.1.0Octa Core,3 GB,32 GB,13MP + 5MP,8MP Front Camera,3060 mAh
