Brand,Product,Rating,Number of ratings,Price,Replacement,Expected delivery,Product availability,Product description,Product link
Juârez,"Juârez Acoustic Guitar, 38 Inch Cutaway, 038C with Bag, Strings, Pick and Strap, Black",3.9 out of 5,"9,560","₹ 2,369.00(Deal price)",7 Days Replacement,Currently not available,In stock.,"About this item.Black Glossy Finish, Number of Frets: 18, Acoustic Guitar with strap, Bag, Strings and 2 Picks.Great looks with an innovative design to produce good quality sound.Finger board: Linden Wood, Fretboard - Ebony Wood, Size: 38 inches, Cutaway.Included components: Acoustic Guitar with strap, Bag, Strings and 2 Picks.Linden Binding and Full Wood Construction with Geared Tuning, Wood Frame and Steel Strings",https://www.amazon.in/Juarez-Acoustic-Cutaway-038C-Strings/dp/B017NPCSLI/ref=sr_1_1?dchild=1&keywords=guitar&qid=1622442031&smid=A14CZOWI0VEHLG&sr=8-1
Juarez,"Juarez JRZ38C Acoustic Guitar, 38 Inch Cutaway with Bag (TBS Transparent Blue Sunburst)",4 out of 5,"3,268","₹ 2,499.00",7 Days Replacement,This item cannot be shipped to your selected delivery location. Please choose a different delivery location.,In stock.,"About this item.Black glossy finish, number of frets: 18, acoustic guitar with strap, bag, strings and 2 picks.Great looks with an innovative design to produce good quality sound.Finger board: Linden wood, fretboard - Ebony wood, size: 38 inches, cutaway.Included components: Acoustic Guitar with strap, Bag, Strings and 2 Picks.Linden binding and full wood construction with geared tuning, wood frame and steel strings.An able acoustic guitar, its neck material is made from Linden Wood, bridge material is made from plastic, finger board and back material is made from Linden Wood, string is made from nylon, and sides material is made from Linden",https://www.amazon.in/JUAREZ-JRZ38C-Acoustic-Sunburst-Strings/dp/B01FYYTDS6/ref=sr_1_2?dchild=1&keywords=guitar&qid=1622442031&sr=8-2
Intern,"Intern INT-38C Acoustic Guitar Kit, With Bag, Strings, Pick And Strap, Black",3.9 out of 5,"5,400","₹ 2,370.00",7 Days Replacement,This item cannot be shipped to your selected delivery location. Please choose a different delivery location.,In stock.,"About this item.Great looks with an innovative design to produce good quality sound.Material: Linden wood finger board with ebony wood fretboard and 38-inch cutaway design.Black glossy finish with 18 frets.Includes: 38-inch acoustic guitar with strap, bag, string set and 3 picks.Linden binding and full wood construction with geared tuning, wood frame and steel strings..Bridge material: Plastic.Note: Product design may slightly vary.Linden binding and full wood construction with geared tuning, wood frame and steel strings ; Natural glossy finish with 18 frets",https://www.amazon.in/Intern-INT-38C-Acoustic-Guitar-Black/dp/B073B6TQQY/ref=sr_1_3?dchild=1&keywords=guitar&qid=1622442031&sr=8-3
Juarez,"Juarez Acoustic Guitar, 38 Inch Curved Body Cutaway, 38CUR with Bag, Strings, Pick and Strap, Black",3.9 out of 5,820,"₹ 2,499.00",7 Days Replacement,This item cannot be shipped to your selected delivery location. Please choose a different delivery location.,In stock.,"About this item.Jumbo Design, 38 Inch Acoustic Steel String Guitar, Black Glossy Finish, Number of Frets: 18.Finger board: Linden Wood, Fretboard - Ebony Wood, Size: 38 inches, Cutaway.Linden Binding and Full Wood Construction with Geared Tuning, Wood Frame and Steel Strings.Great looks with an innovative design to produce good quality sound.Package Includes : Acoustic Guitar with strap, Bag, Strings and 2 Picks",https://www.amazon.in/Juarez-Acoustic-Guitar-Cutaway-Strings/dp/B076QHZ4HZ/ref=sr_1_4?dchild=1&keywords=guitar&qid=1622442031&sr=8-4
Intern,"Intern INT-38C-SB-G Cutaway Right Handed Acoustic Guitar Kit, With Bag, Strings, Pick And Strap (Sunburst, 6 Strings)",4 out of 5,719,"₹ 2,876.00",7 Days Replacement,This item cannot be shipped to your selected delivery location. Please choose a different delivery location.,In stock.,"About this item.38 inches cutaway revolutionary design and configuration to produce marvellous sound.Hi gloss sunburst color finish.Guitar bundled with accessories like smart strap, bag, strings set and 3 picks.Easy to hold for stress-free playing and ultra-portable.Quality linden wood soundboard for unsurpassed resonance.Intern hi gloss 38-inch guitar, 1 set string, bag, strap and 3 picks.Country of Origin: China",https://www.amazon.in/Intern-INT-38C-SB-G-Guitar-Kit-Sunburst/dp/B07K8WLPLH/ref=sr_1_5?dchild=1&keywords=guitar&qid=1622442031&sr=8-5
Juarez,"Juarez Acoustic Guitar, 38 Inch Cutaway with Pick Guard, 38CPG with Bag, Strings, Pick and Strap, Black",3.7 out of 5,171,"₹ 2,350.00",7 Days Replacement,This item cannot be shipped to your selected delivery location. Please choose a different delivery location.,In stock.,"About this item.Black Glossy Finish, Number of Frets: 18, Acoustic Guitar with strap, Bag, Strings and 2 Picks.Great looks with an innovative design to produce good quality sound.Finger board: Linden Wood, Fretboard - Ebony Wood, Size: 38 inches, Cutaway.Included components: Acoustic Guitar with strap, Bag, Strings and 2 Picks.Linden Binding and Full Wood Construction with Geared Tuning, Wood Frame and Steel Strings",https://www.amazon.in/Juarez-Acoustic-Guitar-Cutaway-Strings/dp/B075XMRKMY/ref=sr_1_6?dchild=1&keywords=guitar&qid=1622442031&sr=8-6
Kadence,"Kadence Frontier Series,Black Semi Acoustic Guitar With Die Cast Keys (Bag,Strap,Strings And 3 Picks Stand)",3.9 out of 5,328,"₹ 4,999.00(Deal price)",7 Days Replacement,This item cannot be shipped to your selected delivery location. Please choose a different delivery location.,In stock.,"About this item.Product Type : Semi Acoustic Guitar(With Equalizer and Pickup).Fretboard material:Rosewood, Number of strings:6.Package Details:1 pack of Strings, bag, strap and picks.Body material:Spruce Wood String Type : Roundwound Strings,String Gauge : Stainless Steel.› See more product details",https://www.amazon.in/Kadence-Frontier-Acoustic-Guitar-Strings/dp/B078GTJP5Y/ref=sr_1_7?dchild=1&keywords=guitar&qid=1622442031&sr=8-7
Intern,Intern INT-38C Sunburst Acoustic Guitar kit with carry bag & picks,3.7 out of 5,"1,068","₹ 1,990.00(Deal price)",7 Days Replacement,Currently not available,In stock.,"About this item.Great looks with an innovative design to produce quality warm bright resonant tone.Material: Linden wood finger board with ebony wood fretboard and 38-inch cutaway design.Combo includes Guitar, quality and durable carry bag with extra pockets and comfort handle, Intern Branded Plectrums.Linden binding and maximum wood construction with geared tuning, wood frame and steel strings.Sturdy box package with multiple plies plus instrument wrap ensure that guitar reaches you as it is just out of the factory with no damages or scratches.Bag with stylish nylon made and long lasting material.Country of Origin: China",https://www.amazon.in/Intern-INT-38C-Sunburst-Acoustic-Guitar/dp/B07X1J4D3Z/ref=sr_1_8?dchild=1&keywords=guitar&qid=1622442031&smid=A14CZOWI0VEHLG&sr=8-8
JUAREZ,"JUAREZ JRZ38C Right Handed Acoustic Guitar (Sunburst, 6 Strings)",4 out of 5,"3,421","₹ 2,499.00",7 Days Replacement,This item cannot be shipped to your selected delivery location. Please choose a different delivery location.,In stock.,"About this item.Number of Frets: 18.Acoustic guitar with strap, bag, strings and 2 picks.Great looks with an innovative design to produce good quality sound.Finger Board: Linden wood.Fretboard: Ebony wood.Size: 38 inches, cutaway.Linden binding and full wood construction with geared tuning, wood frame and steel strings.Country of Origin: China",https://www.amazon.in/JUAREZ-JRZ38C-Acoustic-Sunburst-Strings/dp/B01FYYTDTU/ref=sr_1_9?dchild=1&keywords=guitar&qid=1622442031&sr=8-9
Medellin,Medellin MED-BLU-C Linden Wood Acoustic Guitar,3.9 out of 5,379,"₹ 2,699.00",7 Days Replacement,This item cannot be shipped to your selected delivery location. Please choose a different delivery location.,In stock.,About this item.Material: Wood.Colour: Blue.Acoustic Guitar.› See more product details,https://www.amazon.in/Medellin-MED-BLU-C-Linden-Acoustic-Guitar/dp/B07NBMWHJW/ref=sr_1_10?dchild=1&keywords=guitar&qid=1622442031&sr=8-10
